Texture,EC,pH,OM,P,K,Sp,Aspect,Elevation,Slope,CVI,EVI,NDVI,SI1,SI2,SI3,SI4,SI5,SI6,SI7,SARVV,SARVH,TWI
Loam,2.03,8.1,0.7,9.7,331,36,120.443,77,3.65613,1.67345,0.354646,0.328333,0.247233,0.16942,0.382586,0.469918,0.533538,0.539656,0.683764,-10.144719,-22.799256,-17.18815
Loam,2.07,7.6,0.63,10.5,157,36,311.303,81,1.40493,2.0605,0.356596,0.312768,0.193627,0.212587,0.300751,0.467129,0.511589,0.516089,0.656773,-11.709917,-15.892966,0.634703
Loam,2.22,8.5,0.77,8.1,118,36,29.6243,79,2.13293,2.138,0.411332,0.3679,0.167951,0.185712,0.262638,0.441385,0.479082,0.488846,0.676745,-8.747052,-16.963618,-1.311207
Loam,2.27,8.2,0.77,4.2,97,36,0,85,0,2.2126,0.512869,0.431713,0.164994,0.180205,0.255117,0.472856,0.508178,0.513506,0.675261,-7.463385,-15.426418,-15.39782
Loam,2.32,7.7,0.49,9.2,15,38,167.19,88,4.74494,1.44166,0.352858,0.339601,0.341259,0.385286,0.547671,0.409957,0.707585,0.710422,0.64746,-17.301524,-29.095237,-17.81811
Loam,2.45,8.4,0.84,4.3,54,36,90,96,2.12019,2.20649,0.407235,0.332772,0.195141,0.212497,0.300702,0.486636,0.52894,0.544615,0.681056,-10.473662,-17.4393,-16.20185
Loam,2.53,8.2,0.49,6.1,271,36,293.755,78,2.30119,1.9985,0.423229,0.383534,0.16179,0.177138,0.250722,0.422789,0.460437,0.462658,0.643308,-8.935984,-16.911981,-15.85506
Loam,2.55,8.4,0.77,16.8,174,40,319.502,89,4.86701,2.04567,0.307163,0.261407,0.213305,0.23345,0.33082,0.483341,0.532367,0.540989,0.656468,-7.260549,-17.186,-17.88351
Loam,2.57,8.5,0.7,6.9,190,38,180,81,1.85433,2.16101,0.434794,0.385301,0.163267,0.18109,0.256128,0.441823,0.478222,0.49104,0.683959,-7.764304,-14.943864,-12.3517
Loam,2.65,8.5,0.63,8.8,160,8,270,78,1.05411,1.96137,0.297956,0.262866,0.199345,0.218775,0.309748,0.448913,0.496241,0.504132,0.64484,-11.258183,-19.191685,-16.67944
Loam,2.66,8.2,0.77,15,219,40,29.6131,81,2.13269,1.95599,0.354107,0.318409,0.179907,0.197349,0.279096,0.43093,0.473741,0.478846,0.640659,-5.371794,-15.086968,-16.5482
Loam,2.7,8.2,0.84,7.3,171,38,209.605,78,2.13252,2.12298,0.435712,0.392939,0.159651,0.179479,0.253917,0.440591,0.477084,0.489036,0.685852,-3.749107,-16.80118,0.075087
Loam,2.71,8.2,0.98,5.9,288,38,246.274,84,2.30385,2.26911,0.475956,0.422788,0.155631,0.172738,0.244393,0.450081,0.483397,0.494947,0.696537,-11.717646,-15.051427,-17.00624
Loam,2.79,8.3,0.7,10.4,79,36,180,90,2.78029,2.24038,0.472508,0.41993,0.167126,0.186279,0.263568,0.481781,0.518058,0.516796,0.685623,-9.719011,-15.765334,3.045502
Loam,3,8.3,1.12,7.38,117,40,131.103,113,1.41053,2.27422,0.326753,0.295401,0.198303,0.214297,0.303918,0.472987,0.514788,0.516808,0.67477,-7.818626,-15.139057,-16.5482
Loam,3.2,8.5,1.35,4.94,89,34,209.822,114,2.13712,1.9877,0.236001,0.211617,0.127667,0.253276,0.359667,0.495239,0.549243,0.55402,0.654324,-10.083774,-15.465424,-1.311207
Loam,3.2,8,1.4,12.11,108,42,228.927,117,1.41138,2.04401,0.300717,0.260951,0.102087,0.22577,0.319938,0.467118,0.514557,0.529331,0.674517,-8.00661,-15.18612,-1.311207
Sandy Loam,3.27,8.2,1.49,9.2,331,28,180,77,1.85433,1.91355,0.274927,0.235452,0.111838,0.230332,0.32632,0.456599,0.507184,0.515118,0.63088,-8.886306,-14.505288,-16.5482
Loam,3.32,8.3,1.35,13.4,252,45,311.332,80,1.40412,2.35534,0.40186,0.371917,0.162085,0.177718,0.251421,0.43506,0.468713,0.5178437,0.699272,-6.660871,-14.321513,-16.4953
Loam,3.6,7.9,1.77,9.2,181,38,48.7128,82,2.80904,2.02015,0.336628,0.302459,0.191399,0.212542,0.300696,0.459141,0.504223,0.509456,0.65849,-7.978399,-14.426637,-15.39782
Loam,3.62,7.4,1.77,9.7,50,38,293.73,82,2.30352,1.81759,0.228507,0.203253,0.219599,0.238494,0.338005,0.452457,0.506522,0.50906,0.606397,-8.014829,-13.825548,-17.24005
Loam,3.72,8,1.91,9.7,341,36,270,86,1.05627,1.72948,0.265672,0.20471,0.24951,0.271963,0.385036,0.510274,0.574109,0.582078,0.596781,-11.529594,-15.220671,-1.311207
Loam,3.79,8,1.05,11.6,156,34,159.222,83,5.93079,1.41544,0.253511,0.237905,0.132037,0.36988,0.5255,0.582315,0.677148,0.680696,0.529574,-17.176232,-23.597229,-14.58072
Loam,3.86,8.5,1.7,11.5,188,34,48.6774,83,1.40437,2.07898,0.435229,0.302043,0.155054,0.170398,0.241197,0.421488,0.456604,0.558771,0.658024,-10.07791,-15.05586,-16.20185
Loam,4.19,8.19,0.47,3.9,104,36,0,156,0.92741,2.21537,0.328087,0.310377,0.189516,0.212006,0.300264,0.473031,0.515155,0.515967,0.68612,-14.609877,-15.256259,-16.43662
Loam,4.3,8.19,0.66,7.09,110,32,0,149,0.92741,2.32321,0.340466,0.381752,0.168687,0.185891,0.262915,0.459578,0.49508,0.512051,0.703081,-11.16281,-16.428191,-15.5087
Loam,4.4,8.39,0.33,7.19,88,34,311.065,149,1.41161,1.85843,0.233307,0.194003,0.235688,0.256538,0.363964,0.48526,0.542434,0.549815,0.621083,-10.67546,-16.83955,-16.09056
Sandy Loam,4.8,8.6,0.47,5.59,92,27,253.78,134,3.31669,1.93236,0.283854,0.163313,0.226924,0.247013,0.351692,0.459332,0.512584,0.519462,0.634441,-11.851738,-18.795121,-17.29897
Loam,4.9,8.3,0.66,7.19,110,35,270,152,1.06658,1.85407,0.225999,0.196454,0.228513,0.249659,0.354132,0.473025,0.528781,0.533489,0.619972,-9.660335,-16.54332,-1.311207
Loam,5,8.5,0.44,2.5,44,36,270,118,1.06336,2.1526,0.275754,0.237442,0.220196,0.243293,0.345783,0.49769,0.546889,0.558827,0.680267,-9.811817,-16.861515,-16.20185
